pais,iso3,eee,buques,co2_t,ets_eur,fueleu_eur,factura_eur,ahorro_actividad_constante_t,pct_de_2025,pct_de_2030,pct_registro_abierto,cuota_pct,cuota_acumulada_pct
Liberia,LBR,False,2311,22567004.04362,1058390604.0217416,185084442.70615292,1243475046.7278945,970561.7483758265,31.2,55.5,100.0,14.258,14.258
Malta,MLT,True,1111,13129791.27745,676342739.9258963,109287069.18012214,785629809.1060184,656712.1126557023,30.2,52.6,100.0,9.008,23.266
Islas Marshall,MHL,False,1803,12812722.37274,583160821.1078966,100983504.09133084,684144325.1992275,648261.6717835597,25.1,50.0,100.0,7.845,31.111
Panamá,PAN,False,1397,11925755.94885,565688113.9276594,108407381.65043756,674095495.578097,536223.7537305863,26.7,47.9,100.0,7.729,38.84
Italia,ITA,True,264,6265527.88969,429460100.3708073,79743563.27409667,509203663.64490396,404325.3227956396,23.1,27.7,0.0,5.839,44.679
Singapur,SGP,False,779,9211758.74068,400499462.3666421,70811060.1255965,471310522.4922386,243363.8921026839,14.4,38.0,0.0,5.404,50.083
Portugal,PRT,True,739,7333339.58393,373768355.21311086,68682735.4300597,442451090.6431706,346053.5204518295,40.3,56.7,98.4,5.073,55.156
Bahamas,BHS,False,606,7132635.65227,367014199.1237527,55342501.17055899,422356700.2943117,462836.236130504,21.3,36.3,100.0,4.843,59.999
Dinamarca,DNK,True,314,6406417.56328,341432074.77085686,63227673.955151424,404659748.72600824,182589.93373782988,11.8,25.5,0.0,4.64,64.639
Hong Kong,HKG,False,428,6475780.04065,291229335.2326701,49753643.879903845,340982979.112574,200117.12551440124,23.4,54.7,0.0,3.91,68.549
Sin declarar,,False,625,5405407.91087,261143614.56895873,42888513.484368056,304032128.0533268,187658.02642663216,11.0,28.8,0.0,3.486,72.035
Chipre,CYP,True,419,4661322.37881,229472079.58100826,38660565.46252717,268132645.0435354,356034.07478385564,24.1,38.7,98.1,3.075,75.11
Noruega,NOR,True,426,3755809.34363,228574768.1358629,35180960.298652895,263755728.43451577,312598.57360454503,13.6,27.9,0.0,3.024,78.134
Grecia,GRC,True,265,4246343.91098,186774928.08937722,29279689.363772754,216054617.45314997,246878.53800231402,25.3,44.2,0.0,2.477,80.611
Países Bajos,NLD,True,411,3007066.7229,167807243.55016696,30534736.220519483,198341979.77068645,210783.0374163106,26.0,42.3,0.0,2.274,82.885
Bermudas,BMU,False,79,2445252.56432,126911186.45997874,16920516.262318082,143831702.72229683,101356.14092034887,10.1,13.9,100.0,1.649,84.534
Antigua y Barbuda,ATG,False,470,2231619.14167,117955731.2339585,20657012.47998021,138612743.7139387,100211.78063242068,34.9,46.8,100.0,1.589,86.123
Alemania,DEU,True,76,2334746.03294,110257431.22768348,15839992.969669182,126097424.19735268,67927.60188907465,28.9,42.1,0.0,1.446,87.569
Francia,FRA,True,95,2137850.33048,112031567.48345709,12314264.202904033,124345831.68636112,147242.01773210577,11.6,12.6,0.0,1.426,88.995
Finlandia,FIN,True,47,1415227.3003,95933982.3867033,17698436.3070515,113632418.69375479,102463.77992550826,10.6,19.1,0.0,1.303,90.298
No identificado,,False,500,1963639.0402,87226011.28816178,13886173.660493756,101112184.94865555,120198.20207743553,13.2,23.0,0.0,1.159,91.457
Suecia,SWE,True,67,1265252.47177,81557541.59371531,14646616.50699553,96204158.10071084,38287.7857192254,7.5,19.4,0.0,1.103,92.56
